Id,0,Degree
Blade Runner: The Final Cut,movie,13
Ridley Scott,director,34
Rutger Hauer,cast,7
Sean Young,cast,4
Edward James Olmos,cast,21
M. Emmet Walsh,cast,8
Daryl Hannah,cast,16
William Sanderson,cast,2
Brion James,cast,2
Joe Turkel,cast,2
Joanna Cassidy,cast,2
James Hong,cast,21
Morgan Paull,cast,2
Chappie,movie,11
Neill Blomkamp,director,21
Sharlto Copley,cast,9
Hugh Jackman,cast,23
Sigourney Weaver,cast,10
Dev Patel,cast,8
Ninja,cast,4
Yo-Landi Visser,cast,2
Jose Pablo Cantillo,cast,2
Brandon Auret,cast,9
Johnny Selema,cast,2
Maurice Carpede,cast,2
Clear and Present Danger,movie,14
Phillip Noyce,director,32
Willem Dafoe,cast,30
Anne Archer,cast,7
Joaquim de Almeida,cast,4
Henry Czerny,cast,6
Donald Moffat,cast,4
Miguel Sandoval,cast,8
Benjamin Bratt,cast,16
Dean Jones,cast,4
Thora Birch,cast,9
James Earl Jones,cast,9
Raymond Cruz,cast,4
Cliffhanger,movie,12
Renny Harlin,director,30
Sylvester Stallone,cast,33
John Lithgow,cast,11
Michael Rooker,cast,7
Janine Turner,cast,2
Rex Linn,cast,2
Caroline Goodall,cast,4
Leon,cast,4
Craig Fairbrass,cast,8
Ralph Waite,cast,2
Max Perlich,cast,2
Paul Winfield,cast,4
Cold Mountain,movie,11
Anthony Minghella,director,20
Jude Law,cast,11
Nicole Kidman,cast,20
Renée Zellweger,cast,11
Eileen Atkins,cast,6
Philip Seymour Hoffman,cast,9
Natalie Portman,cast,31
Giovanni Ribisi,cast,12
Donald Sutherland,cast,14
Ray Winstone,cast,11
Crocodile Dundee in Los Angeles,movie,15
Simon Wincer,director,37
Paul Hogan,cast,2
Linda Kozlowski,cast,2
Jere Burns,cast,2
Jonathan Banks,cast,6
Aida Turturro,cast,4
Alec Wilson,cast,2
Gerry Skilton,cast,2
Steve Rackman,cast,2
Serge Cockburn,cast,2
Mark Adair-Rios,cast,4
Tiriel Mora,cast,4
Grant Piro,cast,2
Mike Tyson,cast,10
Dear John,movie,11
Channing Tatum,cast,16
Amanda Seyfried,cast,19
Richard Jenkins,cast,18
Henry Thomas,cast,8
D.J. Cotrona,cast,2
Cullen Moss,cast,2
Gavin McCulley,cast,2
Jose Lucena Jr.,cast,2
Keith Robinson,cast,2
Scott Porter,cast,6
Do the Right Thing,movie,14
Spike Lee,director,42
Danny Aiello,cast,4
Ossie Davis,cast,3
Ruby Dee,cast,4
Richard Edson,cast,4
Giancarlo Esposito,cast,18
Bill Nunn,cast,7
John Turturro,cast,12
Paul Benjamin,cast,2
Frankie Faison,cast,7
Samuel L. Jackson,cast,42
Rosie Perez,cast,10
Martin Lawrence,cast,41
"El patrón, radiografía de un crimen",movie,8
Sebastián Schindel,director,23
Joaquín Furriel,cast,9
Luis Ziembrowski,cast,2
Guillermo Pfening,cast,4
Mónica Lairana,cast,2
Germán de Silva,cast,2
Victoria Raposo,cast,2
Andrea Garrote,cast,2
Extraction,movie,9
Steven C. Miller,director,27
Bruce Willis,cast,32
Kellan Lutz,cast,15
Gina Carano,cast,6
D.B. Sweeney,cast,6
Joshua Mikel,cast,4
Steve Coulter,cast,4
Dan Bilzerian,cast,2
Heather Johansen,cast,2
Freedom Writers,movie,13
Richard LaGravenese,director,23
Hilary Swank,cast,9
Patrick Dempsey,cast,6
Imelda Staunton,cast,7
April L. Hernandez,cast,5
Mario,cast,2
Kristin Herrera,cast,2
Jaclyn Ngan,cast,2
Sergio Montalvo,cast,2
Jason Finn,cast,2
Deance Wyatt,cast,2
Vanetta Smith,cast,2
Green Lantern,movie,9
Martin Campbell,director,55
Blake Lively,cast,6
Peter Sarsgaard,cast,8
Mark Strong,cast,14
Tim Robbins,cast,10
Jay O. Sanders,cast,16
Taika Waititi,cast,31
Angela Bassett,cast,12
House Party,movie,14
Reginald Hudlin,director,28
Christopher Reid,cast,7
Christopher Martin,director,9
Robin Harris,cast,2
Tisha Campbell,cast,7
A.J. Johnson,cast,2
Paul Anthony,cast,5
Bowlegged Lou,cast,5
B-Fine,cast,5
Edith Fields,cast,2
Kelly Jo Minter,cast,2
Clifton Powell,cast,2
