Id,Label,0,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Matt Jones,Matt Jones,cast,4,0,20,0.140915,0.152385,0.000378
April Lawrence,April Lawrence,cast,2,0,20,0.139925,0.150956,0
99 Songs,99 Songs,movie,11,0,21,0.125688,0.137572,0.000183
Vishwesh Krishnamoorthy,Vishwesh Krishnamoorthy,director,11,0,21,0.125688,0.137572,0.000183
Ehan Bhat,Ehan Bhat,cast,2,0,22,0.111655,0.119545,0
Edilsy Vargas,Edilsy Vargas,cast,2,0,22,0.111655,0.119545,0
Lisa Ray,Lisa Ray,cast,4,0,22,0.114506,0.126263,0.000005
Tenzin Dalha,Tenzin Dalha,cast,2,0,22,0.111655,0.119545,0
Warina Hussain,Warina Hussain,cast,2,0,22,0.111655,0.119545,0
Ranjit Barot,Ranjit Barot,cast,2,0,22,0.111655,0.119545,0
Neel Tyagi,Neel Tyagi,cast,2,0,22,0.111655,0.119545,0
Rahul Ram,Rahul Ram,cast,4,0,20,0.135917,0.147539,0.000192
Diwakar Pundir,Diwakar Pundir,cast,2,0,22,0.111655,0.119545,0
Army of the Dead,Army of the Dead,movie,16,0,19,0.154546,0.169418,0.001635
Zack Snyder,Zack Snyder,director,27,0,19,0.162028,0.17958,0.005878
Dave Bautista,Dave Bautista,cast,14,0,20,0.153355,0.168421,0.002038
Ella Purnell,Ella Purnell,cast,4,0,20,0.14066,0.151795,0.000039
Omari Hardwick,Omari Hardwick,cast,11,0,19,0.15677,0.172797,0.00103
Garret Dillahunt,Garret Dillahunt,cast,10,0,20,0.146534,0.15919,0.000604
Ana de la Reguera,Ana de la Reguera,cast,6,0,20,0.146356,0.159057,0.000625
Matthias Schweighöfer,Matthias Schweighöfer,cast,2,0,20,0.139437,0.15009,0
Tig Notaro,Tig Notaro,cast,8,0,20,0.139442,0.150175,0.000203
Raúl Castillo,Raúl Castillo,cast,6,0,19,0.151683,0.165978,0.000558
Huma Qureshi,Huma Qureshi,cast,20,0,20,0.147671,0.163906,0.007155
Samantha Win,Samantha Win,cast,2,0,20,0.139437,0.15009,0
Richard Cetrone,Richard Cetrone,cast,2,0,20,0.139437,0.15009,0
Michael Cassidy,Michael Cassidy,cast,4,0,20,0.14054,0.15185,0.000088
Strain,Strain,movie,8,0,23,0.09598,0.100892,0.000127
Uduak-Obong Patrick,Uduak-Obong Patrick,director,8,0,23,0.09598,0.100892,0.000127
Nifemi Lawal,Nifemi Lawal,cast,2,0,24,0.087575,0.091107,0
Alex Usifo,Alex Usifo,cast,2,0,24,0.087575,0.091107,0
Gloria Anozie-Young,Gloria Anozie-Young,cast,2,0,24,0.087575,0.091107,0
Shushu Abubakar,Shushu Abubakar,cast,2,0,24,0.087575,0.091107,0
Aproko Doctor,Aproko Doctor,cast,2,0,24,0.087575,0.091107,0
678,678,movie,11,0,24,0.089069,0.094378,0.000106
Mohamed Diab,Mohamed Diab,director,23,0,23,0.089799,0.09537,0.000808
Maged El-Kidwani,Maged El-Kidwani,cast,4,0,24,0.082424,0.086462,0.000002
Bassem Samra,Bassem Samra,cast,14,0,23,0.095427,0.101733,0.000429
Nelly Kariem,Nelly Kariem,cast,2,0,24,0.0824,0.086227,0
Boshra,Boshra,cast,2,0,24,0.0824,0.086227,0
Nahed El Sebaï,Nahed El Sebaï,cast,4,0,24,0.082451,0.08663,0.000001
Marwa Mehran,Marwa Mehran,cast,2,0,24,0.0824,0.086227,0
Sawsan Badr,Sawsan Badr,cast,8,0,23,0.097087,0.103373,0.00055
Omar El Saeed,Omar El Saeed,cast,2,0,24,0.0824,0.086227,0
Moataz Al-Demerdash,Moataz Al-Demerdash,cast,2,0,24,0.0824,0.086227,0
Asmaa,Asmaa,movie,12,0,24,0.087139,0.091814,0.000183
Amr Salama,Amr Salama,director,12,0,24,0.087139,0.091814,0.000183
Hend Sabry,Hend Sabry,cast,4,0,25,0.081696,0.085621,0.000001
Hany Adel,Hany Adel,cast,4,0,24,0.082424,0.086462,0.000003
Sayed Rajab,Sayed Rajab,cast,8,0,23,0.095343,0.101241,0.000417
Boutros Ghaly,Boutros Ghaly,cast,2,0,25,0.080155,0.083468,0
Laila Ezz El Arab,Laila Ezz El Arab,cast,4,0,24,0.089473,0.09444,0.000054
Samia Asaad,Samia Asaad,cast,2,0,25,0.080155,0.083468,0
Fatmah Adel,Fatmah Adel,cast,2,0,25,0.080155,0.083468,0
Mohamad Yones,Mohamad Yones,cast,2,0,25,0.080155,0.083468,0
Mohamed Abd El Azim,Mohamed Abd El Azim,cast,6,0,24,0.082429,0.086577,0.000562
Little Singham Future mein Satakli,Little Singham Future mein Satakli,movie,7,0,25,0.087862,0.09286,0.000006
Anamaya Verma,Anamaya Verma,cast,6,0,26,0.08397,0.088741,0
Jigna Bharadhwaj,Jigna Bharadhwaj,cast,16,0,24,0.093461,0.099837,0.00014
Saumya Daan,Saumya Daan,cast,4,0,26,0.083955,0.088431,0
Spy Kids: All the Time in the World,Spy Kids: All the Time in the World,movie,10,0,19,0.164005,0.181502,0.000117
Robert Rodriguez,Robert Rodriguez,director,82,0,19,0.180217,0.20524,0.035575
Rowan Blanchard,Rowan Blanchard,cast,4,0,20,0.155122,0.170577,0.000249
Mason Cook,Mason Cook,cast,2,0,20,0.1527,0.166819,0
Jeremy Piven,Jeremy Piven,cast,11,0,18,0.160369,0.176829,0.000941
Alexa PenaVega,Alexa PenaVega,cast,8,0,20,0.154108,0.168977,0.00013
Daryl Sabara,Daryl Sabara,cast,9,0,20,0.1577,0.173572,0.000616
Ricky Gervais,Ricky Gervais,cast,49,0,18,0.171086,0.193262,0.004319
Danny Trejo,Danny Trejo,cast,31,0,18,0.165073,0.184308,0.005207
Taxi No. 9211,Taxi No. 9211,movie,9,0,21,0.127386,0.142801,0.00001
Nana Patekar,Nana Patekar,cast,24,0,22,0.13394,0.152032,0.00039
John Abraham,John Abraham,cast,29,0,20,0.137636,0.155632,0.001032
Sameera Reddy,Sameera Reddy,cast,11,0,20,0.135618,0.150725,0.000212
Sonali Kulkarni,Sonali Kulkarni,cast,21,0,20,0.136702,0.153854,0.001356
Shivaji Satham,Shivaji Satham,cast,6,0,20,0.132017,0.146031,0.000013
Nassar Abdulla,Nassar Abdulla,cast,6,0,22,0.130166,0.145199,0.000012
Smita Jaykar,Smita Jaykar,cast,16,0,20,0.135042,0.151275,0.000241
Sabotage,Sabotage,movie,13,0,19,0.155785,0.172677,0.000318
David Ayer,David Ayer,director,39,0,19,0.162825,0.183089,0.002864
Arnold Schwarzenegger,Arnold Schwarzenegger,cast,8,0,20,0.14209,0.155667,0.000793
Sam Worthington,Sam Worthington,cast,18,0,18,0.161137,0.179491,0.001488
Olivia Williams,Olivia Williams,cast,8,0,18,0.146023,0.15922,0.000175
Terrence Howard,Terrence Howard,cast,32,0,18,0.166288,0.188975,0.003073
Joe Manganiello,Joe Manganiello,cast,8,0,20,0.143716,0.157526,0.000146
Mireille Enos,Mireille Enos,cast,4,0,20,0.146451,0.160385,0.000029
Martin Donovan,Martin Donovan,cast,8,0,20,0.142876,0.156361,0.0002
Max Martini,Max Martini,cast,20,0,18,0.161986,0.17941,0.001831
Mark Schlegel,Mark Schlegel,cast,2,0,20,0.140026,0.15206,0
Kevin Vance,Kevin Vance,cast,2,0,20,0.140026,0.15206,0
Small Town Crime,Small Town Crime,movie,15,0,19,0.151904,0.167187,0.000187
